study,sites,species,units,diptera.sum,acarina,collembola,hymenoptera.not.formicidae,thysanoptera,homoptera.sum,coleoptera,araneae,lepidoptera,hemiptera,plecoptera,formicidae,orthoptera,gastropoda.snails,gastropoda.slugs,protura,chilopoda,trichoptera,isopoda,neuroptera,diplopoda,oligochaeta,nematoda,other,odonata,psocoptera,isoptera,cyanobacteria,chlorophyta,bacillariophyta,euglenophyta,rotifera,copeopoda,rhizopoda,cladocera,insecta,scorpions,cyclopoida,harpaticoida,bosominidae,polyphemidae,sididae,daphnidae,macrothricidae,chydoridae,ostracoda,annelida,microptera,mollusca
Zamora 1990,Dry+Humid+Wet,Pinguicula nevadense,number_of_individuals,1112,395,88,73,26,82,22,28,20,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zamora 1990,Piornal,Pinguicula nevadense,number_of_individuals,291,44,110,9,27,34,5,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zamora 1990,Tropsofera,Pinguicula nevadense,number_of_individuals,247,153,62,40,21,23,9,5,4,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karlsson et al. 1987,site1+site4,Pinguicula alpina,number_per_cm^2_per_day,0.08,0.3,0.13,0.02,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karlsson et al. 1987,site2,Pinguicula vilosa,number_per_cm^2_per_day,0,0.05,0.05,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karlsson et al. 1987,site3+site4,Pinguicula vulgaris,number_per_cm^2_per_day,0.35,0.79,0.13,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karlsson et al. 1994,NA,Pinguicula alpina,number_of_individuals,179,59,450,0,0,0,22,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karlsson et al. 1994,NA,Pinguicula villosa,number_of_individuals,20,4,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karlsson et al. 1994,NA,Pinguicula vulgaris,number_of_individuals,589,93,512,0,0,0,52,28,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newell & Nastase 1998,NA,Sarracenia purpurea,number_of_individuals,4,0,0,0,0,0,3,1,1,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heard 1998,NA,Sarracenia purpurea,number_of_individuals,1551,132,165,132,0,198,330,132,66,17,0,1452,2,264,99,33,10,7,7,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zamora 1995,Sunny+Wall+Ground+Shady,Pinguicula vallisneriifolia,number_per_10cm^2_per_week,29.1,0,0,2.32,0.97,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thum 1986,NA,Drosera rotundifolia,number_of_individuals,1041,643,1356,142,57,579,120,52,9,92,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thum 1986,NA,Drosera intermedia,number_of_individuals,2975,831,354,76,15,324,96,102,2,106,0,37,6,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cresswell 1993,NA,Sarracenia purpurea,number_of_individuals,72,11,3,7,0,16,26,11,5,1,0,31,4,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alcalá and Domínguez 2003,T1+T2,Pinguicula moranensis,sum_of_percentages,192,0,0.3,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alcalá and Domínguez 2003,LC+VAL+MOL,Pinguicula moranensis,sum_of_percentages,210.4,15.8,21.1,5.2,0,0,2.9,0.9,23.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Watson et al. 1982,Burned+Unburned,Drosera erythrorhiza,number_of_individuals,13,10,10826,5,13,8,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,26,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dixon et al. 1980,NA,Drosera erythrorhiza,number_of_individuals,199,0,774,13,0,28,15,12,1,14,0,30,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
